"","FBspecies","a","b","Locality"
"193","Sciaena umbra","0.0055","3.23","Gökceada Island (northern Aegean Sea), 2004-2038"
"194","Sciaena umbra","0.0354","3.05","River Mirna estuary, northern Adriatic, 2000-2004"
"195","Sciaena umbra","0.0069","3.159","Erdek Bay (27°20'- 27°52' E; 40°18'-40°28' N), Sea of Marmara, 2000-2001"
"196","Sciaena umbra","0.018","2.91","French Catalan coast / 2007-2010."
"197","Sciaena umbra","0.0136","3.0038","Southern Agean Sea / 2009-2010."
"198","Sciaena umbra","0.0045","3.3","off Trabzon / 2002-2003"
"199","Seriola dumerili","0.0221","2.94","Northwestern islands"
"200","Seriola dumerili","0.0324","2.809","Southern Florida"
"201","Seriola dumerili","0.0351","2.83","1985"
"202","Seriola dumerili","0.024","2.86","Quarteira-Vila Real de Santo Antonio, 1986-88"
"203","Seriola dumerili","0.05065","2.72","Atlantic coast / Autumn 1992-1999."
"204","Seriola dumerili","0.0325","2.87","Gulf of Mexico, Louisiana, 1989-92"
"205","Seriola dumerili","0.0175","2.96","Gulf of Mexico, Louisiana, 1989-92"
"206","Seriola dumerili","0.0225","2.847","Donji Molunat Bay, Adriatic Sea, 1997"
"207","Seriola dumerili","0.0159","3.089","Central coast, 1993-2000"
"208","Seriola dumerili","0.0144","2.949","Central coast, 1993-2000"
"209","Seriola dumerili","0.0363","2.771","Central coast, 1993-2000"
"210","Seriola dumerili","0.0199","2.964","Gökova Bay, SE Aegean Sea, 2006"
"211","Seriola dumerili","0.0423","2.747","Gulf of Mexico, Louisiana, 1989-92"
"212","Seriola dumerili","0.06711","2.5596","Western Australia: Statewide, 2011-2016."
"213","Diplodus sargus","0.0228","2.904","Gulf of Cadiz / 2009 - 2011"
"214","Diplodus sargus","0.00966","3.123","Gulf of Lion"
"215","Diplodus sargus","0.0101","3.168","South-west coast, 1992-94"
"216","Diplodus sargus","0.0154","3.034","South coast, 1994-95"
"217","Diplodus sargus","0.01382","3.07","Aegean Sea / 1997 - 1998"
"218","Diplodus sargus","0.0138","3.07","Kyclades, 1997-98"
"219","Diplodus sargus","0.0181","2.978","off Algarve coast, 1998-00"
"220","Diplodus sargus","0.0166","3.054","Azores Archipelago / 1997-1999"
"221","Diplodus sargus","0.018","3.032","Azores Archipelago / 1997-1999"
"222","Diplodus sargus","0.0111","3.181","Azores Archipelago / 1997-1999"
"223","Diplodus sargus","0.0114","3.1317","Balearic Islands and eastern coast of Iberian Peninsula / 1991-2001."
"224","Diplodus sargus","0.0151","3.152","Mar Menor lagoon, 2002-2004"
"225","Diplodus sargus","0.01314","3.11","Arade estuary, central Algarve, 2004-2007"
"226","Diplodus sargus","0.01283","3.13","Arade estuary, central Algarve, 2004-2007"
"227","Diplodus sargus","0.0144","3.061","Gökova Bay, SE Aegean Sea, 2006"
"228","Diplodus sargus","0.0608","2.5","Iskenderun Bay, off Yumurtal?k, Adana, 2008-2009"
"229","Diplodus sargus","0.014","3.09","Gulf of Cadiz / 1999 - 2000"
